BJ;EBDL;OB;PERSNR;WTT;WMM;GESCHL;GEBTT;GEBMM;GEBJJJJ;GEBLAND;WGEM;PAR;BSTAAT;FAMST;KONVFL;KONVFL_A;PAR_A;ALTER;ALT31;BERQ
2005;4;;;;1;1;;;1984;9;4;111;312;2; ; ;111;20;21;1
2005;9;;;;2;1;;;1999;9;0;124;220;1; ; ;124;6;6;1
2005;2;;;;3;1;;;1961;5;2;101;11;2; ; ;101;43;44;1
2005;9;;;;2;1;;;1999;9;0;124;404;1; ; ;124;5;6;1
2005;1;;;;7;1;;;1958;8;1;101;8;2; ; ;101;47;47;3
2005;3;;;;2;1;;;1998;1;3;711;41;1; ; ;101;6;7;1
2005;5;;;;2;1;;;2004;1;5;711;8;1; ; ;101;0;1;1
2005;6;;;;1;1;;;1968;8;6;111;8;2; ; ;111;36;37;1
2005;8;;;;11;1;;;1961;8;8;101;8;2; ; ;101;44;44;4
2005;9;;;;3;1;;;1979;1;9;120;8;1; ; ;120;25;26;1
2005;9;;;;2;1;;;1937;9;9;101;656;2; ; ;101;67;68;1
2005;8;;;;1;1;;;1976;8;8;101;8;2; ; ;101;29;29;1
2005;7;;;;7;1;;;2002;1;7;711;15;1; ; ;101;3;3;3
2005;6;;;;1;1;;;1993;5;6;711;15;1; ; ;101;11;12;1
2005;5;;;;1;1;;;2001;1;5;711;13;1; ; ;101;3;4;1
2005;4;;;;1;1;;;1957;8;4;101;8;2; ; ;101;47;48;1
2005;6;;;;1;1;;;1993;5;6;711;13;1; ; ;101;11;12;1
2005;7;;;;3;1;;;1962;8;7;101;8;2; ; ;101;43;43;1
2005;9;;;;9;1;;;1987;9;0;124;662;1; ; ;124;17;18;3
2005;9;;;;3;1;;;1946;9;0;111;752;2; ; ;111;59;59;1
2005;1;;;;2;1;;;1960;5;1;101;15;2; ; ;101;44;45;1
2005;3;;;;4;1;;;1982;4;3;101;4;1; ; ;101;23;23;2
2005;9;;;;1;1;;;1987;9;9;124;205;1; ; ;124;17;18;1
2005;6;;;;1;1;;;2002;1;6;711;13;1; ; ;417;2;3;1
2005;5;;;;1;1;;;1978;8;5;101;8;2; ; ;101;26;27;1
2005;5;;;;3;1;;;2002;1;5;711;13;1; ; ;101;2;3;1
2005;7;;;;2;1;;;1988;9;7;711;11;1; ; ;101;16;17;1
2005;9;;;;6;1;;;1945;1;0;106;501;2; ; ;106;60;60;4
2005;2;;;;5;1;;;1970;9;2;111;41;2; ; ;111;35;35;2
2005;1;;;;12;1;;;1969;5;1;101;11;2; ; ;101;36;36;4
2005;9;;;;10;1;;;1999;1;9;711;304;1; ; ;101;6;6;4
2005;8;;;;9;1;;;1994;1;8;711;8;1; ; ;101;11;11;3
2005;5;;;;1;1;;;1962;8;5;101;8;2; ; ;101;42;43;1
2005;6;;;;1;1;;;1959;5;6;101;13;2; ; ;101;45;46;1
2005;4;;;;1;1;;;1961;8;4;101;8;4; ; ;101;43;44;1
2005;8;;;;6;1;;;1949;5;8;120;11;2; ; ;120;56;56;2
2005;9;;;;9;1;;;1966;8;9;101;8;2; ; ;101;39;39;3
2005;2;;;;8;1;;;1989;5;2;711;15;1; ; ;101;16;16;3
2005;3;;;;2;1;;;1951;9;3;101;49;2; ; ;101;54;54;1
2005;9;;;;4;1;;;1958;9;0;111;752;2; ; ;111;47;47;2
2005;1;;;;12;1;;;1981;1;1;120;8;1; ; ;120;23;24;4
2005;9;;;;12;1;;;1964;5;9;413;13;2; ; ;413;41;41;4
2005;7;;;;1;1;;;1961;8;7;101;8;2; ; ;101;43;44;1
2005;9;;;;6;1;;;1976;9;9;101;13;2; ; ;101;28;29;2
2005;4;;;;1;1;;;2003;1;4;711;13;1; ; ;101;2;2;1
2005;6;;;;1;1;;;1998;1;6;711;13;1; ; ;101;6;7;1
2005;9;;;;3;1;;;1997;9;0;711;200;1; ; ;101;7;8;1
2005;3;;;;11;1;;;1966;9;3;101;662;2; ; ;101;39;39;4
2005;2;;;;5;1;;;1991;4;2;711;4;1; ; ;101;13;14;2
2005;1;;;;12;1;;;1982;8;1;101;8;2; ; ;101;23;23;4
2005;6;;;;1;1;;;1956;5;6;101;13;2; ; ;101;48;49;1
2005;4;;;;1;1;;;1967;9;4;101;663;2; ; ;101;37;38;1
2005;9;;;;2;1;;;1973;9;9;101;15;2; ; ;101;31;32;1
2005;8;;;;3;1;;;1989;1;8;712;15;1; ; ;101;15;16;1
2005;7;;;;8;1;;;1983;1;7;101;11;1; ; ;101;22;22;3
2005;7;;;;5;1;;;1985;1;7;101;15;1; ; ;101;19;20;2
2005;8;;;;5;1;;;1999;1;8;711;15;1; ; ;120;5;6;2
2005;9;;;;1;1;;;1972;9;9;101;550;2; ; ;101;32;33;1
2005;6;;;;1;1;;;1951;5;6;101;15;2; ; ;101;53;54;1
2005;1;;;;12;1;;;1952;5;1;101;13;2; ; ;101;53;53;4
2005;2;;;;6;1;;;1992;1;2;711;41;1; ; ;101;13;13;2
2005;9;;;;6;1;;;1987;9;0;124;304;1; ; ;124;17;18;2
2005;1;;;;12;1;;;1972;1;1;101;15;2; ; ;101;33;33;4
2005;6;;;;1;1;;;1997;1;6;711;304;1; ; ;111;8;8;1
2005;8;;;;2;1;;;1960;5;8;101;13;2; ; ;101;44;45;1
2005;5;;;;3;1;;;1990;5;5;711;15;1; ; ;101;15;15;1
2005;4;;;;1;1;;;1968;1;4;121;997;1; ; ;121;36;37;1
2005;1;;;;12;1;;;1984;1;1;120;15;1; ; ;120;21;21;4
2005;2;;;;7;1;;;1970;5;2;101;15;2; ; ;101;35;35;3
2005;9;;;;11;1;;;1994;9;0;124;312;1; ; ;124;11;11;4
